timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-10_23-07-42,synth,long-message-chain,babc5aeb,original,30,0.00,0.0,15.7
2025-08-10_23-07-42,synth,long-message-chain,babc5aeb,refactored,30,0.00,0.0,15.7
2025-08-10_23-10-42,synth,long-message-chain,babc5aeb,original,30,0.00,0.0,15.9
2025-08-10_23-10-42,synth,long-message-chain,babc5aeb,refactored,30,0.00,0.0,15.9
2025-08-10_23-36-31,synth,long-message-chain,babc5aeb,original,30,0.55,0.0,15.9
2025-08-10_23-36-32,synth,long-message-chain,babc5aeb,refactored,30,0.55,0.0,15.9
2025-08-11_00-45-47,synth,long-message-chain,babc5aeb,original,30,0.55,0.0,15.6
2025-08-11_00-45-48,synth,long-message-chain,babc5aeb,refactored,30,0.55,0.0,15.6
