timestamp,repo,smell_type,smell_id,run_type,iters,elapsed_sec,avg_cpu_percent,peak_memory_mb
2025-08-13_16-14-05,synth,too-many-arguments,0f94663e,original,30,167.94,0.0,15.9
2025-08-13_16-16-53,synth,too-many-arguments,0f94663e,refactored,30,167.86,0.0,15.9
