Smell Type,Total Count,Thresholds
TOTAL,8568,N/A
no-self-use,7209,N/A
too-many-arguments,687,"23/6:6, 8/6:160, 7/6:238, 11/6:31, 18/6:5, 12/6:34, 9/6:96, 17/6:8, 10/6:55, 14/6:12, 22/6:2, 16/6:5, 13/6:15, 15/6:13, 19/6:3, 26/6:1, 21/6:2, 25/6:1"
cached-repeated-calls,552,"5/2:43, 3/2:339, 7/2:10, 4/2:113, 8/2:8, 366/2:1, 723/2:1, 6/2:22, 31/2:1, 10/2:2, 13/2:2, 11/2:2, 32/2:1, 9/2:5, 119/2:1, 16/2:1"
long-message-chain,57,3/3:57
long-element-chain,37,"3/3:33, 4/3:4"
use-a-generator,18,N/A
long-lambda-expr,5,N/A
string-concat-loop,3,N/A
