Repository,long-element-chain,long-lambda-expr,long-message-chain,no-self-use,string-concat-loop,too-many-arguments,use-a-generator,Total Smells
numpy,0,1,7,50,5,116,0,179
streamlit,1,3,4,44,0,71,0,123
django,7,0,27,415,9,127,2,587
scipy,13,1,20,248,3,576,7,868
scikit-learn,4,0,8,28,5,199,1,245
gpiozero,0,1,2,15,0,24,0,42
dask,4,0,11,24,4,126,4,173
