Smell Type,Total Count,Thresholds
TOTAL,628,N/A
no-self-use,415,N/A
too-many-arguments,127,"7/6:53, 8/6:25, 9/6:13, 10/6:11, 12/6:5, 11/6:9, 14/6:1, 15/6:2, 25/6:2, 23/6:1, 13/6:2, 21/6:1, 16/6:1, 18/6:1"
cached-repeated-calls,41,"3/2:30, 5/2:1, 9/2:1, 6/2:4, 4/2:4, 10/2:1"
long-message-chain,27,"3/3:26, 4/3:1"
string-concat-loop,9,N/A
long-element-chain,7,3/3:7
use-a-generator,2,N/A
long-lambda-expr,0,N/A
