Smell Type,Total Count,Thresholds
TOTAL,50,N/A
too-many-arguments,22,"7/6:7, 8/6:3, 9/6:6, 20/6:1, 30/6:1, 14/6:1, 11/6:1, 10/6:2"
cached-repeated-calls,17,"3/2:11, 6/2:3, 5/2:3"
long-message-chain,5,3/3:5
long-element-chain,2,"6/3:1, 3/3:1"
no-self-use,2,N/A
long-lambda-expr,1,N/A
string-concat-loop,1,N/A
use-a-generator,0,N/A
