Smell Type,Total Count,Thresholds
TOTAL,30,N/A
no-self-use,19,N/A
too-many-arguments,8,"8/6:5, 17/6:1, 7/6:2"
cached-repeated-calls,3,"6/2:1, 3/2:2"
long-element-chain,0,N/A
long-lambda-expr,0,N/A
long-message-chain,0,N/A
string-concat-loop,0,N/A
use-a-generator,0,N/A
