Smell Type,Total Count,Thresholds
TOTAL,263,N/A
too-many-arguments,150,"7/6:56, 13/6:7, 8/6:29, 11/6:8, 10/6:17, 9/6:24, 17/6:2, 14/6:4, 12/6:3"
cached-repeated-calls,40,"4/2:8, 3/2:26, 5/2:3, 7/2:2, 6/2:1"
no-self-use,26,N/A
long-message-chain,24,3/3:24
string-concat-loop,8,N/A
long-element-chain,7,"4/3:2, 3/3:5"
use-a-generator,7,N/A
long-lambda-expr,1,N/A
