Smell Type,Total Count,Thresholds
TOTAL,60,N/A
too-many-arguments,52,"36/6:1, 25/6:2, 24/6:17, 11/6:2, 13/6:2, 8/6:2, 9/6:5, 30/6:5, 31/6:3, 32/6:1, 7/6:3, 27/6:2, 18/6:1, 28/6:3, 29/6:3"
cached-repeated-calls,3,3/2:3
long-message-chain,2,"4/3:1, 3/3:1"
string-concat-loop,2,N/A
long-element-chain,1,4/3:1
long-lambda-expr,0,N/A
no-self-use,0,N/A
use-a-generator,0,N/A
