Smell Type,Total Count,Thresholds
TOTAL,286,N/A
cached-repeated-calls,116,"5/2:12, 50/2:6, 41/2:2, 48/2:4, 11/2:5, 4/2:19, 8/2:4, 6/2:8, 12/2:1, 7/2:5, 3/2:38, 21/2:1, 35/2:1, 32/2:1, 18/2:2, 10/2:2, 31/2:1, 29/2:1, 16/2:2, 9/2:1"
no-self-use,51,N/A
too-many-arguments,41,"15/6:2, 11/6:3, 7/6:13, 21/6:1, 14/6:1, 13/6:2, 105/6:1, 75/6:1, 8/6:4, 54/6:1, 58/6:1, 60/6:1, 55/6:1, 57/6:1, 10/6:3, 9/6:5"
long-element-chain,29,3/3:29
string-concat-loop,23,N/A
long-message-chain,13,3/3:13
long-lambda-expr,10,N/A
use-a-generator,3,N/A
