Smell Type,Total Count,Thresholds
TOTAL,13084,N/A
no-self-use,11270,N/A
long-message-chain,568,"3/3:511, 4/3:41, 5/3:13, 14/3:1, 6/3:1, 7/3:1"
cached-repeated-calls,504,"3/2:320, 10/2:2, 4/2:105, 5/2:32, 6/2:21, 16/2:2, 31/2:1, 7/2:15, 9/2:4, 8/2:2"
too-many-arguments,501,"8/6:101, 10/6:60, 25/6:2, 7/6:158, 12/6:9, 15/6:6, 9/6:62, 22/6:6, 17/6:11, 11/6:32, 19/6:3, 16/6:6, 24/6:3, 13/6:14, 20/6:4, 35/6:1, 44/6:2, 18/6:10, 26/6:1, 14/6:9, 21/6:1"
long-element-chain,213,"3/3:37, 4/3:176"
long-lambda-expr,21,N/A
string-concat-loop,7,N/A
use-a-generator,0,N/A
