Smell Type,Total Count,Thresholds
TOTAL,251,N/A
no-self-use,124,N/A
too-many-arguments,107,"9/6:24, 15/6:1, 13/6:3, 7/6:30, 19/6:2, 29/6:1, 14/6:5, 16/6:1, 11/6:7, 12/6:6, 30/6:2, 23/6:1, 10/6:7, 8/6:16, 17/6:1"
long-message-chain,9,"3/3:8, 4/3:1"
cached-repeated-calls,8,3/2:8
long-element-chain,2,3/3:2
string-concat-loop,1,N/A
long-lambda-expr,0,N/A
use-a-generator,0,N/A
