Smell Type,Total Count,Thresholds
TOTAL,556,N/A
no-self-use,262,N/A
too-many-arguments,110,"11/6:3, 7/6:60, 8/6:26, 12/6:3, 9/6:9, 10/6:6, 19/6:1, 14/6:1, 13/6:1"
long-element-chain,68,"3/3:49, 4/3:19"
string-concat-loop,47,N/A
long-lambda-expr,34,N/A
long-message-chain,34,"3/3:23, 4/3:5, 5/3:3, 10/3:1, 33/3:1, 66/3:1"
use-a-generator,1,N/A
