Smell Type,Total Count,Thresholds
TOTAL,282,N/A
too-many-arguments,129,"8/6:22, 7/6:56, 9/6:30, 14/6:4, 17/6:1, 22/6:1, 11/6:3, 16/6:1, 10/6:2, 12/6:6, 13/6:2, 25/6:1"
no-self-use,65,N/A
long-element-chain,44,"3/3:37, 4/3:7"
string-concat-loop,21,N/A
long-message-chain,15,"3/3:13, 4/3:2"
long-lambda-expr,4,N/A
use-a-generator,4,N/A
