Smell Type,Total Count,Thresholds
TOTAL,24,N/A
no-self-use,16,N/A
too-many-arguments,6,"8/6:1, 11/6:4, 9/6:1"
long-element-chain,1,3/3:1
long-lambda-expr,1,N/A
long-message-chain,0,N/A
string-concat-loop,0,N/A
use-a-generator,0,N/A
