Smell Type,Total Count,Thresholds
TOTAL,88,N/A
too-many-arguments,58,"13/6:1, 24/6:2, 9/6:13, 7/6:16, 17/6:6, 10/6:5, 14/6:3, 18/6:1, 15/6:2, 16/6:2, 11/6:2, 8/6:3, 12/6:1, 25/6:1"
no-self-use,22,N/A
long-message-chain,6,3/3:6
long-lambda-expr,2,N/A
long-element-chain,0,N/A
string-concat-loop,0,N/A
use-a-generator,0,N/A
