Smell Type,Total Count,Thresholds
TOTAL,3741,N/A
too-many-arguments,1492,"8/6:335, 11/6:98, 7/6:471, 12/6:68, 10/6:124, 9/6:178, 19/6:8, 17/6:14, 14/6:55, 16/6:22, 15/6:36, 13/6:53, 18/6:8, 23/6:3, 29/6:1, 22/6:3, 24/6:1, 50/6:1, 20/6:2, 32/6:1, 21/6:3, 27/6:2, 28/6:2, 160/6:1, 25/6:1, 55/6:1"
no-self-use,1178,N/A
long-message-chain,518,"3/3:387, 5/3:32, 4/3:68, 6/3:12, 9/3:1, 8/3:11, 12/3:4, 13/3:2, 11/3:1"
long-lambda-expr,332,N/A
string-concat-loop,122,N/A
long-element-chain,94,"3/3:66, 4/3:20, 5/3:6, 6/3:1, 7/3:1"
use-a-generator,5,N/A
