Smell Type,Total Count,Thresholds
TOTAL,2709,N/A
too-many-arguments,1661,"10/6:197, 8/6:307, 12/6:83, 9/6:263, 15/6:40, 7/6:384, 11/6:149, 35/6:1, 51/6:4, 13/6:62, 17/6:17, 14/6:50, 21/6:8, 16/6:20, 26/6:4, 48/6:1, 24/6:4, 25/6:6, 22/6:6, 19/6:10, 47/6:1, 18/6:10, 28/6:3, 23/6:2, 41/6:1, 30/6:3, 32/6:2, 33/6:2, 50/6:2, 37/6:2, 27/6:2, 20/6:5, 45/6:2, 67/6:1, 54/6:1, 52/6:2, 38/6:1, 42/6:2, 60/6:1"
long-message-chain,492,"3/3:288, 5/3:26, 7/3:2, 4/3:156, 6/3:15, 9/3:2, 10/3:1, 8/3:2"
no-self-use,329,N/A
long-element-chain,114,"3/3:101, 4/3:8, 5/3:3, 6/3:1, 7/3:1"
cached-repeated-calls,54,"4/2:9, 3/2:38, 5/2:2, 8/2:3, 7/2:1, 6/2:1"
long-lambda-expr,25,N/A
string-concat-loop,21,N/A
use-a-generator,13,N/A
