Smell Type,Total Count,Thresholds
TOTAL,255,N/A
too-many-arguments,165,"11/6:17, 12/6:16, 10/6:9, 13/6:15, 16/6:7, 7/6:23, 9/6:9, 15/6:31, 8/6:18, 14/6:11, 17/6:8, 18/6:1"
no-self-use,56,N/A
long-message-chain,13,"3/3:11, 4/3:1, 5/3:1"
cached-repeated-calls,12,"3/2:10, 6/2:1, 5/2:1"
long-lambda-expr,8,N/A
long-element-chain,1,3/3:1
string-concat-loop,0,N/A
use-a-generator,0,N/A
