Smell Type,Total Count,Thresholds
TOTAL,90,N/A
too-many-arguments,58,"9/6:13, 7/6:16, 8/6:3, 12/6:1, 10/6:5, 15/6:2, 25/6:1, 11/6:2, 24/6:2, 17/6:6, 14/6:3, 16/6:2, 18/6:1, 13/6:1"
no-self-use,22,N/A
long-message-chain,6,3/3:6
cached-repeated-calls,2,3/2:2
long-lambda-expr,2,N/A
long-element-chain,0,N/A
string-concat-loop,0,N/A
use-a-generator,0,N/A
