Smell Type,Total Count,Thresholds
TOTAL,379,N/A
no-self-use,246,N/A
cached-repeated-calls,54,"5/2:4, 4/2:11, 3/2:28, 6/2:8, 7/2:2, 9/2:1"
long-element-chain,29,"3/3:21, 6/3:1, 4/3:5, 7/3:2"
too-many-arguments,29,"8/6:6, 7/6:10, 10/6:2, 14/6:1, 30/6:1, 9/6:7, 20/6:1, 11/6:1"
long-message-chain,18,"3/3:16, 5/3:1, 4/3:1"
long-lambda-expr,2,N/A
string-concat-loop,1,N/A
use-a-generator,0,N/A
