Smell Type,Total Count,Thresholds
TOTAL,206,N/A
no-self-use,161,N/A
cached-repeated-calls,22,"3/2:17, 4/2:5"
too-many-arguments,20,"7/6:6, 8/6:3, 11/6:2, 14/6:1, 9/6:4, 10/6:3, 34/6:1"
long-lambda-expr,2,N/A
long-element-chain,1,3/3:1
long-message-chain,0,N/A
string-concat-loop,0,N/A
use-a-generator,0,N/A
